ln_q_pp,ln_delta_T,ln_g,ln_P
3.7887247890836524,3.481240089335692,-2.322787800311565,1.7047480922384253
3.858622228701031,3.502549875922443,-2.322787800311565,1.7047480922384253
3.899950424193877,3.5322256440685598,-2.322787800311565,1.7047480922384253
4.0809215418899605,3.5496173867804286,-2.322787800311565,1.7047480922384253
4.216562194946349,3.591817741270805,-2.322787800311565,1.7047480922384253
4.298645025734831,3.6189933266497696,-2.322787800311565,1.7047480922384253
4.334672938290411,3.632309102625542,-2.322787800311565,1.7047480922384253
4.446174454497633,3.6686767467964168,-2.322787800311565,1.7047480922384253
4.56954300834494,3.6712245188752153,-2.322787800311565,1.7047480922384253
4.709530201312334,3.744787086052232,-2.322787800311565,1.7047480922384253
4.820281565605037,3.7727609380946383,-2.322787800311565,1.7047480922384253
4.9141243937154115,3.8155121050473024,-2.322787800311565,1.7047480922384253
4.966335035199676,3.8437441646748516,-2.322787800311565,1.7047480922384253
5.040841136153322,3.8691155044168695,-2.322787800311565,1.7047480922384253
5.094363509626968,3.883623530906448,-2.322787800311565,1.7047480922384253
5.152134856369956,3.929862923556477,-2.322787800311565,1.7047480922384253
5.216022123821206,3.9454577815143836,-2.322787800311565,1.7047480922384253
5.31664832323276,4.032469158504013,-2.322787800311565,1.7047480922384253
3.6027767550605247,3.407841924380824,2.2823823856765264,1.7047480922384253
4.009149716158869,3.529297384289471,2.2823823856765264,1.7047480922384253
4.212127597878484,3.563882963939251,2.2823823856765264,1.7047480922384253
4.356708826689592,3.632309102625542,2.2823823856765264,1.7047480922384253
4.5217885770490405,3.6402142821326553,2.2823823856765264,1.7047480922384253
4.787491742782046,3.7864597824528,2.2823823856765264,1.7047480922384253
4.900076103529192,3.8480176754522337,2.2823823856765264,1.7047480922384253
5.012633296758929,3.8815637979434374,2.2823823856765264,1.7047480922384253
5.117993812416755,3.8958936234982624,2.2823823856765264,1.7047480922384253
5.214935757608986,3.9646154555473165,2.2823823856765264,1.7047480922384253
5.280662431309316,3.9721769282478934,2.2823823856765264,1.7047480922384253
3.7471483622379123,3.391147045808654,2.975529566236472,1.7047480922384253
3.885679030088544,3.4339872044851463,2.975529566236472,1.7047480922384253
3.9982007016691985,3.4404180948154366,2.975529566236472,1.7047480922384253
4.259859000699674,3.4781584227982836,2.975529566236472,1.7047480922384253
4.300002799195291,3.4468078929142076,2.975529566236472,1.7047480922384253
4.404277243608702,3.481240089335692,2.975529566236472,1.7047480922384253
4.520701029361642,3.591817741270805,2.975529566236472,1.7047480922384253
4.6434288981051814,3.591817741270805,2.975529566236472,1.7047480922384253
4.779963476361254,3.616308761279101,2.975529566236472,1.7047480922384253
4.895598484107897,3.648057459593681,2.975529566236472,1.7047480922384253
4.940927881671436,3.681351187693145,2.975529566236472,1.7047480922384253
4.999237249143887,3.711130063048756,2.975529566236472,1.7047480922384253
5.056245805348308,3.728100167267218,2.975529566236472,1.7047480922384253
5.130490255904535,3.7819143200811256,2.975529566236472,1.7047480922384253
5.18850250054083,3.8066624897703196,2.975529566236472,1.7047480922384253
5.3230099791384085,3.8691155044168695,2.975529566236472,1.7047480922384253
